"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"BCAS2",0.134905166901929,5.62065288409317,1.43285600218955,0.268227405833326,0.720540389538314,-10.0913092561087,"NOT"
"PQLC3",-0.111960373600326,2.78151528015051,-0.47658293458393,0.673550660608472,1,-10.0915276397345,"NOT"
"CPED1",0.109679191132164,8.01961548584379,1.95088145822683,0.168552397168328,0.569316293577682,-10.0921531217264,"NOT"
"ZNF205",-0.143062653784265,3.9490849028493,-0.956476426435265,0.424882114975188,0.82998151883527,-10.0928384678318,"NOT"
"STK4",-0.10295197814387,5.84265556115742,-1.48534692643659,0.25536889710355,0.704570014017003,-10.093024734437,"NOT"
"PLPP2",-0.254962571288672,4.6133899944799,-1.1629189965453,0.347281954738504,0.812050566737149,-10.0931700883827,"NOT"
"SP140L",0.206335296830187,4.55349771738276,1.14332486723123,0.35395860324753,0.812050566737149,-10.0934942651878,"NOT"
"CBFA2T2",-0.124546430852759,4.25281052440331,-1.05201898052886,0.386932476542736,0.812050566737149,-10.0946239944394,"NOT"
"CRADD",-0.0958705499418668,4.84567530090101,-1.22898916180723,0.325761653652864,0.802220370026656,-10.0946727630236,"NOT"
"PDZD8",-0.271567548652832,6.65357003979496,-1.66576915672755,0.216413572079296,0.653467025453861,-10.0947349104421,"NOT"
"SNRPD2",-0.158933459808619,7.80384955342803,-1.9038433938076,0.175468168733496,0.580607167275074,-10.0954187933457,"NOT"
"TTC13",-0.104191630586076,3.16080332365624,-0.658997657778558,0.567471713535073,0.986148854805073,-10.0958735535169,"NOT"
"KIAA1328",0.0472072464459821,2.40589577639496,0.153424458371023,0.890007217755573,1,-10.0959119042897,"NOT"
"PRDX2",0.114962636839524,8.74880683935321,2.09874037819298,0.148938130300727,0.532080086315979,-10.0969558656008,"NOT"
"FAM122C",0.126797840360344,3.59666725661275,0.829429732461081,0.481141561424617,0.892373665206342,-10.0973702276594,"NOT"
"HOXB4",-0.181971960397468,6.41245209698055,-1.611133583506,0.227407285837037,0.671442053471431,-10.0976476103549,"NOT"
"ZYG11A",-0.25129700184736,5.09129781918841,-1.29266377707367,0.30641043967004,0.772958635372634,-10.0976910550686,"NOT"
"RAP1GDS1",-0.278242852646719,4.86614533849368,-1.23077235921958,0.325201542845383,0.80142864806472,-10.0978859623999,"NOT"
"ZNF77",-0.0533612727875714,3.18464137055841,-0.666445537181953,0.563436549013608,0.981247949232889,-10.0983247203573,"NOT"
"FANCB",-0.0481538527347491,3.94738336992464,-0.949782544005094,0.427678443580805,0.832543519813275,-10.0988396878425,"NOT"
"ACAP2",0.118589092818721,6.31692505092791,1.58800603499379,0.23226307828855,0.678098332472587,-10.0992102747015,"NOT"
"PIGQ",0.142483263539084,6.1640192131449,1.55309956834578,0.239829313901848,0.686622260580988,-10.099398016113,"NOT"
"LRRFIP2",0.0703842386132081,6.00508367457674,1.51697893074208,0.247969972160303,0.69835099027776,-10.0996255963345,"NOT"
"NIPBL",0.128821483618016,6.79509738891822,1.69116296888674,0.211523517643349,0.644243300567527,-10.0996848260612,"NOT"
"ACVR1B",0.117805204680107,4.19633789873984,1.02768157185076,0.396256347083856,0.812050566737149,-10.1001495144293,"NOT"
"DHFR2",0.0733620045371026,2.43396110155434,0.1745860875013,0.875038553886398,1,-10.1001896990926,"NOT"
